"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1",NA,NA,NA,"(4,6]",84,"Non-Whte","College",1,"(57,86]","Male","Repubican"
"2","Dial-Up",0,0,"(6,8]",36,"White","College",3,"[18,40]","Female","Repubican"
"3",NA,NA,NA,NA,43,"White","HS or Less",1,"(40,57]","Female","Repubican"
"4","High Speed",NA,NA,"(6,8]",52,"White","Some College",1,"(40,57]","Female","Independent"
"5","Dial-Up",NA,NA,NA,52,"White","College",1,"(40,57]","Female","Repubican"
"6",NA,NA,NA,"(4,6]",74,"Non-Whte","College",1,"(57,86]","Male","Democrat"
"7","High Speed",0,0,"(4,6]",43,"Non-Whte","HS or Less",3,"(40,57]","Female","Independent"
"8","Dial-Up",0,0,"(6,8]",43,"Non-Whte","Some College",1,"(40,57]","Male","Democrat"
"9","Dial-Up",NA,NA,"[1,4]",77,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"10","High Speed",NA,NA,"(6,8]",54,"White","College",1,"(40,57]","Male","Repubican"
"11","High Speed",NA,NA,"(6,8]",47,"White","College",1,"(40,57]","Male","Democrat"
"12",NA,NA,NA,"[1,4]",70,"White","HS or Less",2,"(57,86]","Female","Repubican"
"13","Dial-Up",NA,NA,"(6,8]",70,"White","College",1,"(57,86]","Female","Independent"
"14","High Speed",0,0,"(6,8]",61,"White","College",1,"(57,86]","Male","Independent"
"15","High Speed",NA,NA,"(6,8]",53,"White","College",1,"(40,57]","Male","Democrat"
"16","High Speed",NA,NA,"(4,6]",42,"White","College",1,"(40,57]","Female","Independent"
"17",NA,NA,NA,NA,42,"White","HS or Less",4,"(40,57]","Male","Independent"
"18","High Speed",0,0,"(6,8]",40,"Non-Whte","College",1,"[18,40]","Male","Repubican"
"19",NA,NA,NA,NA,85,"White","HS or Less",1,"(57,86]","Male","Repubican"
"20",NA,NA,NA,"(4,6]",42,"White","HS or Less",3,"(40,57]","Female","Repubican"
"21",NA,NA,NA,NA,49,"White","College",1,"(40,57]","Male","Independent"
"22",NA,NA,NA,"(4,6]",38,"White","College",1,"[18,40]","Female","Repubican"
"23","Dial-Up",0,0,"[1,4]",43,"White","HS or Less",2,"(40,57]","Male","Democrat"
"24",NA,NA,NA,"(4,6]",26,"White","HS or Less",3,"[18,40]","Male","Independent"
"25","High Speed",0,0,"[1,4]",38,"White","College",1,"[18,40]","Female","Independent"
"26",NA,NA,NA,"[1,4]",69,"White","Some College",1,"(57,86]","Female","Independent"
"27","High Speed",0.5,0,"(4,6]",32,"White","Some College",4,"[18,40]","Male","Independent"
"28","Dial-Up",NA,NA,"[1,4]",36,"Non-Whte","Some College",4,"[18,40]","Female","Independent"
"29",NA,NA,NA,"[1,4]",43,"White","HS or Less",2,"(40,57]","Male","Repubican"
"30","High Speed",0,0,"(6,8]",54,"White","College",1,"(40,57]","Male","Repubican"
"31",NA,0,0.5,"[1,4]",24,"White","College",1,"[18,40]","Male","Democrat"
"32","Dial-Up",NA,NA,"[1,4]",57,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"33","High Speed",NA,NA,"(6,8]",40,"White","Some College",3,"[18,40]","Female","Independent"
"34","High Speed",NA,NA,"(4,6]",53,"Non-Whte","Some College",3,"(40,57]","Male","Independent"
"35",NA,NA,NA,"[1,4]",84,"White","HS or Less",3,"(57,86]","Male","Democrat"
"36",NA,NA,NA,"[1,4]",47,"White","College",4,"(40,57]","Female","Independent"
"37",NA,NA,NA,"[1,4]",64,"White","HS or Less",1,"(57,86]","Female","Democrat"
"38","Dial-Up",0,0,NA,55,"White","HS or Less",1,"(40,57]","Male","Independent"
"39",NA,NA,NA,NA,NA,"Non-Whte",NA,1,NA,"Female","Independent"
"40","Dial-Up",0,0,"[1,4]",64,"White","HS or Less",1,"(57,86]","Male","Democrat"
"41",NA,NA,NA,"[1,4]",61,"White","Some College",1,"(57,86]","Female","Democrat"
"42","Dial-Up",0,0,"(4,6]",66,"White","College",1,"(57,86]","Female","Democrat"
"43","High Speed",0,0,"[1,4]",48,"White","College",1,"(40,57]","Male","Independent"
"44","High Speed",NA,NA,"(4,6]",28,"White","HS or Less",1,"[18,40]","Male","Repubican"
"45","Dial-Up",NA,NA,"(6,8]",50,"White","College",1,"(40,57]","Female","Repubican"
"46",NA,NA,NA,"[1,4]",87,"White","HS or Less",1,NA,"Female","Independent"
"47","High Speed",NA,NA,NA,38,"White","College",1,"[18,40]","Male","Independent"
"48","High Speed",0,0,"(6,8]",46,"White","College",2,"(40,57]","Female","Democrat"
"49","Dial-Up",0,0,"[1,4]",33,"White","College",1,"[18,40]","Female","Repubican"
"50","High Speed",1,1,NA,37,"White","College",1,"[18,40]","Male","Democrat"
"51",NA,NA,NA,NA,64,"Non-Whte","HS or Less",2,"(57,86]","Female","Democrat"
"52","High Speed",NA,NA,"(4,6]",50,"White","College",1,"(40,57]","Male","Independent"
"53",NA,NA,NA,NA,80,"White","HS or Less",1,"(57,86]","Male","Repubican"
"54","Dial-Up",NA,NA,"[1,4]",32,"White","Some College",3,"[18,40]","Female","Repubican"
"55",NA,NA,NA,"[1,4]",NA,"White","HS or Less",2,NA,"Male","Democrat"
"56","High Speed",NA,NA,"(4,6]",38,"White","Some College",2,"[18,40]","Male","Independent"
"57","High Speed",0,0,"(4,6]",33,"White","College",1,"[18,40]","Male","Democrat"
"58",NA,NA,NA,"(6,8]",49,"White","HS or Less",1,"(40,57]","Female","Repubican"
"59",NA,NA,NA,"[1,4]",81,"White","HS or Less",1,"(57,86]","Male","Independent"
"60",NA,NA,NA,"[1,4]",74,"White","College",1,"(57,86]","Male","Independent"
"61",NA,NA,NA,"[1,4]",44,"White","College",3,"(40,57]","Male","Repubican"
"62","Dial-Up",NA,NA,NA,30,"White","College",2,"[18,40]","Female","Independent"
"63",NA,NA,NA,NA,77,"White","Some College",3,"(57,86]","Male","Independent"
"64","Dial-Up",0,0,"(6,8]",50,"White","HS or Less",2,"(40,57]","Male","Repubican"
"65","Dial-Up",0,0,"[1,4]",41,"White","Some College",1,"(40,57]","Male","Democrat"
"66","Dial-Up",0,NA,"[1,4]",52,"White","Some College",4,"(40,57]","Female","Repubican"
"67","Dial-Up",NA,NA,"[1,4]",31,"White","Some College",2,"[18,40]","Female","Democrat"
"68",NA,0,0,"(4,6]",55,"Non-Whte","College",1,"(40,57]","Male","Independent"
"69",NA,NA,NA,NA,75,"White","Some College",1,"(57,86]","Male","Repubican"
"70","Dial-Up",0,0,"[1,4]",37,"White","HS or Less",4,"[18,40]","Male","Independent"
"71",NA,NA,NA,"(6,8]",46,"White","HS or Less",1,"(40,57]","Male","Repubican"
"72",NA,NA,NA,NA,50,"White","Some College",1,"(40,57]","Female","Repubican"
"73",NA,NA,NA,NA,86,"White","Some College",2,"(57,86]","Male","Democrat"
"74",NA,NA,NA,NA,37,"White","HS or Less",4,"[18,40]","Female","Independent"
"75","High Speed",NA,NA,"[1,4]",72,"White","College",1,"(57,86]","Female","Democrat"
"76",NA,NA,NA,"[1,4]",59,"White","Some College",1,"(57,86]","Male","Independent"
"77","Dial-Up",NA,NA,"[1,4]",29,"White","Some College",1,"[18,40]","Female","Repubican"
"78","Dial-Up",0,0,"(4,6]",67,"White","College",1,"(57,86]","Male","Repubican"
"79",NA,NA,NA,"(6,8]",54,"White","Some College",1,"(40,57]","Female","Repubican"
"80","Dial-Up",0,0,"(6,8]",26,"White","College",2,"[18,40]","Female","Democrat"
"81","High Speed",NA,NA,"(6,8]",46,"White","Some College",1,"(40,57]","Male","Repubican"
"82","Dial-Up",NA,NA,"[1,4]",33,"White","College",2,"[18,40]","Female","Repubican"
"83",NA,NA,NA,"(4,6]",55,"White","HS or Less",1,"(40,57]","Female","Repubican"
"84",NA,NA,NA,"[1,4]",76,"Non-Whte","HS or Less",1,"(57,86]","Male","Democrat"
"85",NA,NA,NA,"(4,6]",61,"White","HS or Less",3,"(57,86]","Female","Repubican"
"86",NA,NA,NA,"[1,4]",86,"White","Some College",1,"(57,86]","Female","Democrat"
"87",NA,NA,NA,"(6,8]",NA,"Non-Whte","College",1,NA,"Male","Independent"
"88","High Speed",0,0,"(6,8]",18,"White","HS or Less",1,"[18,40]","Male","Repubican"
"89","High Speed",0,0,"(4,6]",28,"White","College",1,"[18,40]","Female","Independent"
"90","Dial-Up",0,0,"[1,4]",36,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"91",NA,0,0,"(6,8]",40,"White","College",1,"[18,40]","Male","Repubican"
"92",NA,NA,NA,"[1,4]",21,"White","HS or Less",2,"[18,40]","Female","Independent"
"93",NA,NA,NA,NA,40,"White","College",1,"[18,40]","Female","Independent"
"94","High Speed",NA,NA,"(6,8]",31,"White","College",2,"[18,40]","Male","Democrat"
"95",NA,NA,NA,"(4,6]",NA,"Non-Whte","College",1,NA,"Male","Independent"
"96","High Speed",0.5,0,"(4,6]",41,"White","College",2,"(40,57]","Male","Independent"
"97","Dial-Up",0,0,"(4,6]",69,"White","College",1,"(57,86]","Female","Democrat"
"98","Dial-Up",0,0,NA,42,"Non-Whte","Some College",1,"(40,57]","Female","Democrat"
"99",NA,NA,NA,"(6,8]",22,"White","Some College",1,"[18,40]","Male","Repubican"
"100","High Speed",NA,NA,"(6,8]",49,"White","Some College",1,"(40,57]","Female","Repubican"
"101","High Speed",0,0,"[1,4]",34,"White","College",3,"[18,40]","Female","Democrat"
"102","High Speed",NA,NA,"(4,6]",66,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"103",NA,NA,NA,NA,64,"White","College",1,"(57,86]","Male","Independent"
"104",NA,NA,NA,"(4,6]",58,"Non-Whte","College",1,"(57,86]","Female","Democrat"
"105",NA,NA,NA,NA,65,"Non-Whte","Some College",1,"(57,86]","Female","Independent"
"106","Dial-Up",NA,NA,"(4,6]",58,"White","College",1,"(57,86]","Female","Independent"
"107","High Speed",0.5,0,"(6,8]",34,"White","College",2,"[18,40]","Female","Repubican"
"108","Dial-Up",0,0,"(6,8]",29,"Non-Whte","College",2,"[18,40]","Female","Democrat"
"109",NA,0,0,NA,38,"White","College",1,"[18,40]","Female","Democrat"
"110",NA,NA,NA,"[1,4]",80,"White","HS or Less",1,"(57,86]","Female","Independent"
"111",NA,NA,NA,"[1,4]",37,"Non-Whte","HS or Less",1,"[18,40]","Female","Democrat"
"112","High Speed",0,0,"(4,6]",39,"White","Some College",1,"[18,40]","Female","Independent"
"113",NA,NA,NA,"(4,6]",33,"White","Some College",1,"[18,40]","Female","Democrat"
"114","Dial-Up",NA,NA,"(4,6]",33,"White","HS or Less",1,"[18,40]","Female","Democrat"
"115","Dial-Up",NA,NA,"(4,6]",35,"Non-Whte","College",1,"[18,40]","Female","Democrat"
"116","Dial-Up",0,0,"(4,6]",46,"White","HS or Less",3,"(40,57]","Male","Repubican"
"117","High Speed",0,0,"(6,8]",33,"Non-Whte","College",1,"[18,40]","Female","Repubican"
"118","High Speed",NA,NA,"(6,8]",51,"Non-Whte","College",2,"(40,57]","Female","Democrat"
"119","Dial-Up",0,0.5,"(4,6]",50,"Non-Whte","HS or Less",1,"(40,57]","Male","Democrat"
"120","High Speed",NA,NA,"(6,8]",48,"White","College",1,"(40,57]","Male","Independent"
"121",NA,NA,NA,"[1,4]",53,"Non-Whte","HS or Less",4,"(40,57]","Female","Democrat"
"122",NA,NA,NA,NA,62,"White","HS or Less",1,"(57,86]","Female","Repubican"
"123",NA,NA,NA,"[1,4]",21,"Non-Whte","HS or Less",3,"[18,40]","Male","Independent"
"124",NA,NA,NA,NA,67,"Non-Whte","HS or Less",NA,"(57,86]","Female","Independent"
"125","High Speed",NA,NA,"(4,6]",29,"White","HS or Less",2,"[18,40]","Male","Independent"
"126","High Speed",0,0,NA,58,"White","HS or Less",1,"(57,86]","Female","Independent"
"127",NA,NA,NA,"(6,8]",41,"White","Some College",1,"(40,57]","Female","Independent"
"128","Dial-Up",NA,NA,"[1,4]",71,"White","College",1,"(57,86]","Female","Independent"
"129",NA,NA,NA,"[1,4]",65,"White","HS or Less",1,"(57,86]","Male","Democrat"
"130","High Speed",1,0.5,"(6,8]",49,"White","College",1,"(40,57]","Male","Independent"
"131","High Speed",NA,NA,"(4,6]",38,"White","Some College",1,"[18,40]","Male","Repubican"
"132",NA,NA,NA,NA,79,"White","HS or Less",NA,"(57,86]","Female","Independent"
"133",NA,NA,NA,"[1,4]",80,"White","College",1,"(57,86]","Male","Democrat"
"134","High Speed",0,0,"[1,4]",31,"White","College",2,"[18,40]","Female","Repubican"
"135","Dial-Up",0,0,"[1,4]",27,"White","HS or Less",3,"[18,40]","Male","Independent"
"136",NA,NA,NA,"[1,4]",83,"White","Some College",1,"(57,86]","Female","Democrat"
"137","Dial-Up",NA,NA,"[1,4]",44,"White","Some College",2,"(40,57]","Male","Independent"
"138",NA,NA,NA,NA,86,"White","HS or Less",1,"(57,86]","Male","Democrat"
"139","Dial-Up",0,0,"(4,6]",60,"White","College",2,"(57,86]","Male","Independent"
"140","Dial-Up",NA,NA,"(6,8]",41,"White","College",1,"(40,57]","Female","Repubican"
"141",NA,NA,NA,"(4,6]",44,"White","HS or Less",2,"(40,57]","Female","Independent"
"142","Dial-Up",NA,NA,"[1,4]",48,"White","College",1,"(40,57]","Female","Repubican"
"143","Dial-Up",NA,NA,"[1,4]",20,"White","HS or Less",2,"[18,40]","Female","Democrat"
"144",NA,NA,NA,"(6,8]",55,"White","HS or Less",3,"(40,57]","Male","Independent"
"145",NA,NA,NA,NA,27,"White","HS or Less",1,"[18,40]","Female","Repubican"
"146",NA,NA,NA,"[1,4]",69,"White","HS or Less",1,"(57,86]","Male","Democrat"
"147",NA,NA,NA,"(4,6]",32,"White","College",2,"[18,40]","Male","Independent"
"148",NA,NA,NA,"[1,4]",60,"White","HS or Less",4,"(57,86]","Female","Democrat"
"149",NA,NA,NA,"[1,4]",32,"White","Some College",2,"[18,40]","Male","Repubican"
"150","Dial-Up",0,0,"(4,6]",37,"White","Some College",2,"[18,40]","Female","Democrat"
"151",NA,NA,NA,NA,45,"White","HS or Less",3,"(40,57]","Female","Democrat"
"152",NA,NA,NA,"[1,4]",64,"White","HS or Less",1,"(57,86]","Male","Independent"
"153",NA,NA,NA,"[1,4]",34,"White","HS or Less",3,"[18,40]","Female","Independent"
"154","Dial-Up",0,0,"(4,6]",55,"White","College",1,"(40,57]","Male","Independent"
"155","Dial-Up",0,0,"(4,6]",56,"White","College",1,"(40,57]","Male","Repubican"
"156","High Speed",NA,NA,"(4,6]",29,"Non-Whte","Some College",2,"[18,40]","Male","Independent"
"157","High Speed",NA,NA,"[1,4]",35,"White","College",1,"[18,40]","Male","Independent"
"158",NA,NA,NA,"[1,4]",58,"White","HS or Less",1,"(57,86]","Female","Repubican"
"159","High Speed",0,0,"(4,6]",26,"White","Some College",2,"[18,40]","Female","Independent"
"160",NA,NA,NA,NA,84,"White","Some College",1,"(57,86]","Female","Democrat"
"161",NA,NA,NA,NA,43,"Non-Whte","HS or Less",1,"(40,57]","Female","Democrat"
"162","High Speed",NA,NA,NA,58,"White","Some College",2,"(57,86]","Male","Repubican"
"163",NA,0,0,"(4,6]",27,"Non-Whte","College",2,"[18,40]","Female","Repubican"
"164",NA,NA,NA,NA,NA,"Non-Whte","HS or Less",3,NA,"Female","Independent"
"165",NA,NA,NA,"[1,4]",35,"Non-Whte","HS or Less",2,"[18,40]","Female","Democrat"
"166",NA,NA,NA,"[1,4]",46,"White","HS or Less",4,"(40,57]","Female","Independent"
"167","Dial-Up",0,0,"[1,4]",36,"White","Some College",4,"[18,40]","Female","Repubican"
"168","Dial-Up",0,0,"(4,6]",57,"White","Some College",1,"(40,57]","Female","Repubican"
"169","Dial-Up",0,0,"(4,6]",32,"White","Some College",2,"[18,40]","Male","Democrat"
"170","High Speed",NA,NA,"(6,8]",22,"White","College",2,"[18,40]","Male","Democrat"
"171",NA,NA,NA,"(4,6]",46,"White","College",2,"(40,57]","Female","Repubican"
"172",NA,NA,NA,"[1,4]",36,"Non-Whte","HS or Less",4,"[18,40]","Male","Independent"
"173","High Speed",0,0,"(6,8]",34,"White","College",1,"[18,40]","Female","Repubican"
"174","Dial-Up",NA,NA,NA,82,"White","HS or Less",1,"(57,86]","Male","Democrat"
"175",NA,NA,NA,"[1,4]",79,"White","HS or Less",2,"(57,86]","Female","Democrat"
"176","Dial-Up",0,0,"[1,4]",67,"White","HS or Less",1,"(57,86]","Female","Repubican"
"177",NA,NA,NA,"(4,6]",51,"White","HS or Less",2,"(40,57]","Female","Independent"
"178",NA,NA,NA,"(6,8]",55,"Non-Whte","Some College",2,"(40,57]","Male","Democrat"
"179","High Speed",NA,NA,"(6,8]",36,"White","College",1,"[18,40]","Male","Repubican"
"180","High Speed",NA,NA,"(6,8]",56,"White","College",1,"(40,57]","Female","Democrat"
"181","Dial-Up",NA,NA,"[1,4]",55,"White","College",4,"(40,57]","Female","Democrat"
"182","High Speed",0.5,0.5,"[1,4]",19,"White","HS or Less",1,"[18,40]","Male","Independent"
"183","Dial-Up",0,0,NA,51,"White","Some College",1,"(40,57]","Male","Repubican"
"184",NA,NA,NA,NA,53,"Non-Whte","HS or Less",1,"(40,57]","Male","Democrat"
"185","High Speed",NA,NA,"(6,8]",33,"White","College",1,"[18,40]","Male","Repubican"
"186",NA,NA,NA,"[1,4]",72,"White","Some College",2,"(57,86]","Male","Independent"
"187",NA,NA,NA,"[1,4]",76,"White","HS or Less",4,"(57,86]","Male","Repubican"
"188",NA,NA,NA,"[1,4]",48,"Non-Whte","Some College",3,"(40,57]","Female","Democrat"
"189","High Speed",NA,NA,"(4,6]",64,"White","HS or Less",1,"(57,86]","Female","Independent"
"190",NA,NA,NA,"[1,4]",40,"Non-Whte","HS or Less",2,"[18,40]","Male","Democrat"
"191",NA,NA,NA,"[1,4]",44,"White","Some College",3,"(40,57]","Female","Repubican"
"192","High Speed",NA,NA,"[1,4]",69,"Non-Whte","College",1,"(57,86]","Female","Independent"
"193",NA,NA,NA,"[1,4]",89,"White","HS or Less",1,NA,"Female","Democrat"
"194","Dial-Up",0,NA,"[1,4]",66,"Non-Whte","Some College",1,"(57,86]","Female","Democrat"
"195",NA,NA,NA,NA,70,"White","HS or Less",1,"(57,86]","Female","Independent"
"196",NA,NA,NA,"[1,4]",54,"White","Some College",1,"(40,57]","Female","Democrat"
"197",NA,NA,NA,NA,22,"White","College",1,"[18,40]","Female","Repubican"
"198","High Speed",0.5,0.5,"(4,6]",59,"White","College",1,"(57,86]","Male","Independent"
"199","Dial-Up",0,0,"(4,6]",51,"White","HS or Less",1,"(40,57]","Male","Democrat"
"200","High Speed",0,0,"(4,6]",48,"Non-Whte","Some College",2,"(40,57]","Female","Democrat"
"201",NA,NA,NA,NA,63,"White","HS or Less",1,"(57,86]","Male","Democrat"
"202","Dial-Up",NA,NA,NA,72,"White","HS or Less",1,"(57,86]","Male","Democrat"
"203","Dial-Up",0,0,"[1,4]",67,"White","Some College",1,"(57,86]","Male","Independent"
"204","Dial-Up",0,0,"(6,8]",41,"White","Some College",1,"(40,57]","Male","Independent"
"205",NA,NA,NA,"(6,8]",55,"White","Some College",3,"(40,57]","Male","Independent"
"206","High Speed",0,0,"(4,6]",45,"White","Some College",1,"(40,57]","Female","Independent"
"207",NA,NA,NA,"[1,4]",74,"White","HS or Less",1,"(57,86]","Male","Independent"
"208","High Speed",1,0,"(4,6]",24,"White","Some College",1,"[18,40]","Female","Repubican"
"209","High Speed",NA,NA,"(4,6]",25,"Non-Whte","College",4,"[18,40]","Female","Independent"
"210","High Speed",NA,NA,"(4,6]",45,"White","HS or Less",4,"(40,57]","Male","Independent"
"211","Dial-Up",NA,NA,"[1,4]",28,"White","College",3,"[18,40]","Male","Independent"
"212",NA,NA,NA,NA,74,"White","Some College",1,"(57,86]","Male","Independent"
"213","High Speed",NA,NA,"[1,4]",49,"Non-Whte","HS or Less",1,"(40,57]","Female","Independent"
"214","Dial-Up",0,0,"[1,4]",18,"White","HS or Less",2,"[18,40]","Male","Repubican"
"215",NA,NA,NA,"[1,4]",48,"White","HS or Less",2,"(40,57]","Male","Independent"
"216","Dial-Up",NA,NA,"(4,6]",47,"White","College",1,"(40,57]","Female","Repubican"
"217","High Speed",0,0,"[1,4]",46,"White","Some College",1,"(40,57]","Male","Repubican"
"218",NA,NA,NA,NA,NA,"White",NA,4,NA,"Female","Independent"
"219",NA,NA,NA,"[1,4]",44,"Non-Whte","HS or Less",1,"(40,57]","Male","Repubican"
"220","Dial-Up",0,0,NA,NA,"Non-Whte","Some College",1,NA,"Female","Independent"
"221","High Speed",NA,NA,"(4,6]",39,"White","Some College",1,"[18,40]","Male","Independent"
"222",NA,NA,NA,"[1,4]",44,"White","HS or Less",1,"(40,57]","Male","Democrat"
"223",NA,NA,NA,"[1,4]",57,"White","HS or Less",4,"(40,57]","Male","Independent"
"224",NA,NA,NA,"(4,6]",45,"White","HS or Less",1,"(40,57]","Female","Democrat"
"225",NA,NA,NA,"[1,4]",52,"Non-Whte","HS or Less",4,"(40,57]","Female","Democrat"
"226","High Speed",NA,NA,NA,39,"Non-Whte","College",3,"[18,40]","Female","Democrat"
"227","High Speed",NA,NA,"(6,8]",58,"White","College",1,"(57,86]","Male","Independent"
"228","High Speed",NA,NA,NA,41,"White","Some College",2,"(40,57]","Male","Independent"
"229",NA,NA,NA,"(4,6]",35,"White","Some College",1,"[18,40]","Male","Repubican"
"230",NA,0,0,"(4,6]",66,"White","HS or Less",2,"(57,86]","Female","Repubican"
"231","Dial-Up",NA,NA,"(4,6]",27,"White","Some College",2,"[18,40]","Female","Independent"
"232",NA,NA,NA,"[1,4]",82,"White","Some College",2,"(57,86]","Female","Independent"
"233",NA,NA,NA,NA,NA,"Non-Whte",NA,1,NA,"Male","Independent"
"234","Dial-Up",NA,NA,"(6,8]",26,"White","Some College",3,"[18,40]","Male","Independent"
"235",NA,NA,NA,NA,70,"White","HS or Less",3,"(57,86]","Female","Repubican"
"236","High Speed",0,0,"(4,6]",26,"White","College",1,"[18,40]","Male","Repubican"
"237",NA,NA,NA,"(6,8]",70,"White","HS or Less",1,"(57,86]","Male","Repubican"
"238",NA,NA,NA,"[1,4]",82,"White","HS or Less",1,"(57,86]","Male","Democrat"
"239","High Speed",0,0,"(4,6]",56,"White","Some College",2,"(40,57]","Male","Independent"
"240","High Speed",0,0,NA,18,"Non-Whte","HS or Less",1,"[18,40]","Male","Repubican"
"241","Dial-Up",NA,NA,"(4,6]",55,"White","College",1,"(40,57]","Male","Democrat"
"242",NA,0,0,"(4,6]",34,"Non-Whte","College",1,"[18,40]","Female","Repubican"
"243",NA,NA,NA,NA,63,"White","Some College",1,"(57,86]","Female","Independent"
"244",NA,NA,NA,"(4,6]",54,"White","HS or Less",2,"(40,57]","Male","Independent"
"245","Dial-Up",NA,NA,"[1,4]",50,"Non-Whte","College",1,"(40,57]","Male","Independent"
"246","Dial-Up",0,0,"(4,6]",37,"White","Some College",2,"[18,40]","Female","Repubican"
"247",NA,0,0,"(4,6]",18,"White","HS or Less",NA,"[18,40]","Female","Repubican"
"248","Dial-Up",0,0.5,NA,37,"White","College",1,"[18,40]","Male","Repubican"
"249","Dial-Up",0,0.5,"[1,4]",49,"White","Some College",1,"(40,57]","Male","Repubican"
"250","High Speed",NA,NA,"[1,4]",62,"White","HS or Less",1,"(57,86]","Male","Independent"
"251","Dial-Up",0,1,"[1,4]",63,"Non-Whte","HS or Less",1,"(57,86]","Female","Independent"
"252",NA,NA,NA,"[1,4]",38,"White","Some College",1,"[18,40]","Male","Independent"
"253","Dial-Up",0,0,"(4,6]",36,"White","HS or Less",1,"[18,40]","Male","Repubican"
"254",NA,NA,NA,"[1,4]",63,"White","HS or Less",2,"(57,86]","Female","Democrat"
"255","Dial-Up",0,0,"[1,4]",25,"White","HS or Less",4,"[18,40]","Female","Repubican"
"256",NA,NA,NA,"(6,8]",29,"White","HS or Less",1,"[18,40]","Female","Repubican"
"257",NA,NA,NA,NA,37,"White","HS or Less",3,"[18,40]","Female","Repubican"
"258",NA,NA,NA,NA,78,"White","HS or Less",1,"(57,86]","Female","Repubican"
"259",NA,NA,NA,"[1,4]",80,"White","HS or Less",2,"(57,86]","Male","Democrat"
"260","High Speed",0,0,"(6,8]",57,"White","College",1,"(40,57]","Female","Repubican"
"261","Dial-Up",NA,NA,NA,50,"White","HS or Less",1,"(40,57]","Female","Repubican"
"262",NA,NA,NA,"(4,6]",41,"White","HS or Less",2,"(40,57]","Male","Democrat"
"263",NA,NA,NA,"[1,4]",69,"Non-Whte","Some College",1,"(57,86]","Female","Democrat"
"264","High Speed",NA,NA,"(6,8]",43,"White","College",1,"(40,57]","Male","Democrat"
"265","Dial-Up",NA,NA,"(4,6]",34,"White","HS or Less",1,"[18,40]","Male","Repubican"
"266",NA,0,0,"[1,4]",49,"White","Some College",2,"(40,57]","Female","Repubican"
"267","High Speed",0,0,"(4,6]",48,"White","College",1,"(40,57]","Male","Democrat"
"268","Dial-Up",NA,NA,"[1,4]",57,"White","HS or Less",2,"(40,57]","Male","Democrat"
"269","High Speed",0,0,"[1,4]",23,"White","Some College",1,"[18,40]","Female","Democrat"
"270",NA,NA,NA,"(4,6]",33,"White","Some College",2,"[18,40]","Female","Repubican"
"271",NA,NA,NA,NA,68,"White","HS or Less",1,"(57,86]","Female","Independent"
"272","Dial-Up",NA,NA,"[1,4]",55,"White","Some College",1,"(40,57]","Female","Independent"
"273",NA,NA,NA,"[1,4]",NA,"White","College",1,NA,"Female","Repubican"
"274",NA,NA,NA,"[1,4]",69,"White","College",3,"(57,86]","Female","Independent"
"275",NA,0,0.5,"(6,8]",47,"White","College",1,"(40,57]","Female","Repubican"
"276",NA,NA,NA,"[1,4]",18,"White","HS or Less",4,"[18,40]","Female","Independent"
"277",NA,NA,NA,NA,37,"White","HS or Less",NA,"[18,40]","Female","Independent"
"278","High Speed",NA,NA,"(4,6]",47,"White","Some College",1,"(40,57]","Male","Democrat"
"279","Dial-Up",0,0,"(4,6]",54,"White","College",1,"(40,57]","Female","Repubican"
"280","Dial-Up",NA,NA,"(6,8]",58,"White","College",1,"(57,86]","Male","Independent"
"281","High Speed",0,0,NA,18,"Non-Whte","HS or Less",4,"[18,40]","Male","Independent"
"282","High Speed",0.5,0,"(6,8]",20,"White","Some College",1,"[18,40]","Male","Democrat"
"283","High Speed",NA,NA,"(4,6]",54,"Non-Whte","College",3,"(40,57]","Male","Democrat"
"284","High Speed",NA,NA,"(6,8]",60,"White","Some College",1,"(57,86]","Male","Repubican"
"285","High Speed",NA,NA,"(4,6]",42,"White","College",1,"(40,57]","Female","Repubican"
"286","Dial-Up",0,0,"(4,6]",78,"White","College",1,"(57,86]","Female","Repubican"
"287",NA,NA,NA,"[1,4]",70,"Non-Whte","HS or Less",1,"(57,86]","Female","Democrat"
"288","Dial-Up",0,0,"(4,6]",33,"White","College",1,"[18,40]","Female","Independent"
"289","Dial-Up",NA,NA,"[1,4]",23,"Non-Whte","College",2,"[18,40]","Female","Independent"
"290","High Speed",NA,NA,"(6,8]",50,"White","HS or Less",1,"(40,57]","Female","Repubican"
"291",NA,NA,NA,"[1,4]",70,"White","Some College",1,"(57,86]","Male","Repubican"
"292","High Speed",NA,NA,"(6,8]",34,"White","College",2,"[18,40]","Female","Repubican"
"293","Dial-Up",NA,NA,"(4,6]",33,"Non-Whte","Some College",4,"[18,40]","Female","Democrat"
"294","High Speed",NA,NA,"(6,8]",30,"White","College",1,"[18,40]","Male","Repubican"
"295",NA,NA,NA,NA,70,"White","College",1,"(57,86]","Female","Democrat"
"296","Dial-Up",NA,NA,"(6,8]",35,"White","College",1,"[18,40]","Male","Repubican"
"297","Dial-Up",NA,NA,"(4,6]",37,"White","HS or Less",2,"[18,40]","Male","Repubican"
