"","broadband","blogs","onlinenews","income","age","race","educ1","interest","age1","sex","pid"
"1434",NA,NA,NA,NA,27,"Non-Whte","HS or Less",2,"[18,40]","Female","Independent"
"1435",NA,NA,NA,"[1,4]",68,"Non-Whte","HS or Less",NA,"(57,86]","Male","Democrat"
"1436","High Speed",NA,NA,"(6,8]",45,"White","HS or Less",3,"(40,57]","Female","Repubican"
"1437",NA,NA,NA,"[1,4]",42,"Non-Whte","HS or Less",3,"(40,57]","Female","Independent"
"1438",NA,NA,NA,NA,86,"White","College",1,"(57,86]","Female","Democrat"
"1439","Dial-Up",0,0,"(4,6]",NA,"White","College",1,NA,"Male","Democrat"
"1440","Dial-Up",NA,NA,"[1,4]",28,"Non-Whte","College",3,"[18,40]","Female","Democrat"
"1441",NA,NA,NA,NA,51,"White","College",1,"(40,57]","Male","Democrat"
"1442",NA,NA,NA,"[1,4]",24,"Non-Whte","Some College",3,"[18,40]","Female","Democrat"
"1443","High Speed",NA,NA,"(6,8]",24,"Non-Whte","College",1,"[18,40]","Male","Democrat"
"1444",NA,NA,NA,NA,35,"White","HS or Less",3,"[18,40]","Female","Independent"
"1445",NA,NA,NA,"(4,6]",NA,"Non-Whte","Some College",1,NA,"Female","Independent"
"1446",NA,NA,NA,"(4,6]",67,"White","College",1,"(57,86]","Male","Independent"
"1447","Dial-Up",0,0.5,"[1,4]",39,"Non-Whte","HS or Less",1,"[18,40]","Female","Democrat"
"1448","Dial-Up",NA,NA,"(4,6]",71,"White","HS or Less",1,"(57,86]","Male","Independent"
"1449","High Speed",0,0,"[1,4]",22,"Non-Whte","HS or Less",4,"[18,40]","Female","Democrat"
"1450",NA,NA,NA,"[1,4]",43,"White","Some College",NA,"(40,57]","Female","Democrat"
"1451","Dial-Up",NA,NA,"(6,8]",49,"White","HS or Less",2,"(40,57]","Female","Independent"
"1452","High Speed",0,0,"(6,8]",53,"White","College",2,"(40,57]","Male","Democrat"
"1453","Dial-Up",NA,NA,"[1,4]",33,"Non-Whte","Some College",1,"[18,40]","Female","Democrat"
"1454",NA,NA,NA,NA,67,"Non-Whte","College",4,"(57,86]","Male","Independent"
"1455",NA,0,0,NA,18,"Non-Whte","HS or Less",3,"[18,40]","Male","Independent"
"1456",NA,NA,NA,NA,72,"Non-Whte","HS or Less",1,"(57,86]","Male","Independent"
"1457",NA,NA,NA,NA,65,"Non-Whte","Some College",2,"(57,86]","Female","Democrat"
"1458",NA,NA,NA,"(6,8]",49,"Non-Whte","College",1,"(40,57]","Female","Democrat"
"1459","High Speed",NA,NA,"(4,6]",30,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"1460",NA,NA,NA,"[1,4]",42,"Non-Whte","HS or Less",4,"(40,57]","Female","Democrat"
"1461","High Speed",NA,0,"[1,4]",67,"White","HS or Less",2,"(57,86]","Male","Independent"
"1462","High Speed",NA,NA,"(6,8]",24,"White","Some College",4,"[18,40]","Male","Independent"
"1463","Dial-Up",NA,NA,"[1,4]",21,"White","Some College",1,"[18,40]","Male","Repubican"
"1464","Dial-Up",0,0,"[1,4]",53,"Non-Whte","Some College",4,"(40,57]","Female","Independent"
"1465","Dial-Up",NA,NA,"[1,4]",35,"White","College",1,"[18,40]","Male","Repubican"
"1466","High Speed",NA,NA,"(4,6]",18,"White","HS or Less",1,"[18,40]","Male","Repubican"
"1467","High Speed",0,0,"(4,6]",55,"White","Some College",1,"(40,57]","Male","Democrat"
"1468",NA,0,0,NA,NA,"Non-Whte",NA,4,NA,"Female","Independent"
"1469","High Speed",0,0,"(4,6]",62,"White","Some College",2,"(57,86]","Male","Independent"
"1470","High Speed",0,0,"(6,8]",37,"White","College",2,"[18,40]","Female","Independent"
"1471",NA,NA,NA,"(4,6]",59,"White","College",1,"(57,86]","Male","Democrat"
"1472","Dial-Up",0,0,"(4,6]",42,"White","College",1,"(40,57]","Male","Democrat"
"1473",NA,NA,NA,"[1,4]",70,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1474","High Speed",NA,NA,"(4,6]",27,"White","Some College",1,"[18,40]","Female","Independent"
"1475","Dial-Up",0,0,"(4,6]",53,"White","College",2,"(40,57]","Female","Repubican"
"1476",NA,0,0,"[1,4]",31,"Non-Whte","HS or Less",1,"[18,40]","Male","Democrat"
"1477",NA,NA,NA,"[1,4]",36,"Non-Whte","HS or Less",2,"[18,40]","Female","Democrat"
"1478",NA,NA,NA,"[1,4]",43,"Non-Whte","College",1,"(40,57]","Female","Independent"
"1479","High Speed",NA,NA,"(6,8]",60,"White","Some College",1,"(57,86]","Female","Repubican"
"1480",NA,NA,NA,"[1,4]",62,"White","College",2,"(57,86]","Female","Repubican"
"1481",NA,NA,NA,NA,69,"White","HS or Less",1,"(57,86]","Male","Democrat"
"1482",NA,0,0,"[1,4]",20,"White","HS or Less",1,"[18,40]","Male","Repubican"
"1483",NA,NA,NA,NA,64,"White","HS or Less",4,"(57,86]","Female","Democrat"
"1484","Dial-Up",NA,NA,"[1,4]",74,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1485",NA,NA,NA,NA,43,"White","Some College",2,"(40,57]","Female","Democrat"
"1486",NA,NA,NA,NA,69,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1487",NA,NA,NA,"[1,4]",75,"White","HS or Less",1,"(57,86]","Male","Democrat"
"1488","Dial-Up",0,0,"(4,6]",51,"White","HS or Less",2,"(40,57]","Female","Repubican"
"1489","High Speed",0,0,"(6,8]",29,"White","College",1,"[18,40]","Female","Repubican"
"1490","High Speed",0,0,"(6,8]",47,"White","College",1,"(40,57]","Male","Repubican"
"1491","Dial-Up",NA,NA,NA,74,"White","HS or Less",1,"(57,86]","Female","Democrat"
"1492","Dial-Up",0,0,NA,31,"White","Some College",3,"[18,40]","Female","Independent"
"1493","High Speed",NA,NA,"[1,4]",32,"Non-Whte","College",2,"[18,40]","Female","Repubican"
"1494","High Speed",NA,NA,"(4,6]",30,"White","Some College",1,"[18,40]","Female","Democrat"
"1495","Dial-Up",0,0,"[1,4]",38,"White","College",2,"[18,40]","Male","Independent"
"1496","Dial-Up",NA,NA,"[1,4]",53,"White","HS or Less",2,"(40,57]","Female","Democrat"
"1497",NA,NA,NA,"(4,6]",24,"White","HS or Less",NA,"[18,40]","Male","Independent"
"1498",NA,NA,NA,"[1,4]",NA,"Non-Whte","Some College",1,NA,"Female","Democrat"
"1499",NA,NA,NA,"[1,4]",24,"White","HS or Less",4,"[18,40]","Male","Independent"
"1500","High Speed",NA,NA,"[1,4]",58,"White","Some College",1,"(57,86]","Female","Democrat"
"1501","Dial-Up",NA,NA,"(4,6]",39,"White","Some College",2,"[18,40]","Male","Democrat"
"1502","High Speed",0,0,"(6,8]",47,"White","College",1,"(40,57]","Female","Independent"
"1503",NA,NA,NA,"(6,8]",65,"White","Some College",1,"(57,86]","Male","Repubican"
"1504","High Speed",NA,NA,NA,46,"Non-Whte","College",1,"(40,57]","Female","Democrat"
"1505","High Speed",NA,NA,NA,54,"White","Some College",1,"(40,57]","Female","Repubican"
"1506","High Speed",NA,NA,"(6,8]",53,"White","HS or Less",1,"(40,57]","Male","Democrat"
"1507",NA,NA,NA,NA,80,"White","Some College",1,"(57,86]","Female","Democrat"
"1508","Dial-Up",NA,NA,"(4,6]",48,"White","HS or Less",4,"(40,57]","Female","Independent"
"1509",NA,NA,NA,"[1,4]",62,"White","HS or Less",2,"(57,86]","Male","Repubican"
"1510","Dial-Up",0,0,"(6,8]",56,"White","College",1,"(40,57]","Male","Democrat"
"1511","High Speed",0,0,"(6,8]",65,"White","College",1,"(57,86]","Male","Repubican"
"1512",NA,NA,NA,"(4,6]",71,"White","College",1,"(57,86]","Female","Repubican"
"1513",NA,NA,NA,"[1,4]",78,"White","Some College",1,"(57,86]","Male","Independent"
"1514",NA,NA,NA,NA,86,"White","HS or Less",4,"(57,86]","Female","Democrat"
"1515","Dial-Up",0,0,NA,44,"White","College",2,"(40,57]","Male","Repubican"
"1516","High Speed",NA,NA,"(4,6]",43,"White","College",1,"(40,57]","Male","Independent"
"1517","High Speed",0,0,"(4,6]",54,"White","HS or Less",2,"(40,57]","Male","Democrat"
"1518","Dial-Up",0,0,"(4,6]",30,"White","HS or Less",3,"[18,40]","Female","Independent"
"1519",NA,NA,NA,"(6,8]",35,"Non-Whte","College",2,"[18,40]","Female","Democrat"
"1520","Dial-Up",0,0,"(4,6]",66,"Non-Whte","Some College",2,"(57,86]","Male","Democrat"
"1521","Dial-Up",0.5,0,"(4,6]",75,"White","College",1,"(57,86]","Male","Repubican"
"1522","High Speed",NA,NA,NA,49,"White","College",1,"(40,57]","Female","Repubican"
"1523",NA,0,0,"[1,4]",81,"White","HS or Less",1,"(57,86]","Male","Democrat"
"1524","Dial-Up",0,0,"(6,8]",57,"White","HS or Less",1,"(40,57]","Male","Democrat"
"1525","Dial-Up",0,0,NA,76,"White","HS or Less",1,"(57,86]","Female","Independent"
"1526",NA,NA,NA,"(4,6]",72,"White","College",2,"(57,86]","Female","Democrat"
"1527",NA,NA,NA,NA,75,"White","Some College",1,"(57,86]","Female","Repubican"
"1528",NA,NA,NA,"[1,4]",NA,"White","HS or Less",1,NA,"Female","Democrat"
"1529",NA,NA,NA,"[1,4]",70,"White","Some College",1,"(57,86]","Male","Independent"
"1530",NA,NA,NA,"[1,4]",69,"White","Some College",2,"(57,86]","Female","Democrat"
"1531",NA,NA,NA,"(6,8]",65,"White","Some College",3,"(57,86]","Male","Independent"
"1532","Dial-Up",NA,NA,"[1,4]",31,"White","HS or Less",3,"[18,40]","Female","Independent"
"1533",NA,NA,NA,"(4,6]",51,"White","Some College",1,"(40,57]","Male","Democrat"
"1534",NA,NA,NA,NA,NA,"Non-Whte","HS or Less",1,NA,"Female","Democrat"
"1535",NA,0,0,NA,22,"White","HS or Less",2,"[18,40]","Female","Democrat"
"1536",NA,NA,NA,"[1,4]",39,"White","HS or Less",3,"[18,40]","Male","Democrat"
"1537","High Speed",0,0,NA,53,"White","Some College",1,"(40,57]","Male","Independent"
"1538",NA,NA,NA,"(4,6]",57,"White","HS or Less",1,"(40,57]","Female","Independent"
"1539",NA,NA,NA,"(4,6]",87,"White","HS or Less",1,NA,"Male","Repubican"
"1540",NA,NA,NA,"[1,4]",56,"Non-Whte","HS or Less",2,"(40,57]","Female","Repubican"
"1541","Dial-Up",0,0,"(6,8]",27,"White","College",1,"[18,40]","Male","Repubican"
"1542",NA,NA,NA,"[1,4]",66,"White","Some College",1,"(57,86]","Male","Independent"
"1543",NA,NA,NA,"[1,4]",77,"White","HS or Less",1,"(57,86]","Male","Democrat"
"1544","High Speed",NA,NA,"(6,8]",39,"White","College",1,"[18,40]","Female","Democrat"
"1545","Dial-Up",NA,NA,"[1,4]",55,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"1546","Dial-Up",0,0,"(6,8]",48,"White","College",1,"(40,57]","Female","Democrat"
"1547","High Speed",0,0,"[1,4]",49,"Non-Whte","College",1,"(40,57]","Male","Democrat"
"1548","Dial-Up",NA,NA,"[1,4]",28,"White","Some College",3,"[18,40]","Female","Repubican"
"1549","High Speed",0,0,NA,64,"White","College",1,"(57,86]","Female","Independent"
"1550","High Speed",NA,NA,"(6,8]",22,"White","Some College",2,"[18,40]","Female","Repubican"
"1551",NA,NA,NA,NA,21,"Non-Whte","Some College",2,"[18,40]","Male","Repubican"
"1552",NA,NA,NA,NA,73,"White","College",1,"(57,86]","Female","Independent"
"1553","Dial-Up",0,0,"(6,8]",69,"White","College",1,"(57,86]","Female","Independent"
"1554","High Speed",NA,NA,NA,47,"Non-Whte","Some College",1,"(40,57]","Female","Independent"
"1555",NA,NA,NA,NA,40,"Non-Whte","HS or Less",1,"[18,40]","Female","Democrat"
"1556","High Speed",NA,NA,"(6,8]",68,"Non-Whte","College",1,"(57,86]","Male","Independent"
"1557",NA,NA,NA,"(4,6]",35,"White","Some College",3,"[18,40]","Female","Repubican"
"1558",NA,NA,NA,"[1,4]",80,"White","Some College",1,"(57,86]","Female","Democrat"
"1559","High Speed",0,0.5,"(4,6]",22,"Non-Whte","Some College",1,"[18,40]","Male","Democrat"
"1560","Dial-Up",NA,NA,"[1,4]",22,"White","Some College",1,"[18,40]","Male","Repubican"
"1561",NA,NA,NA,"(6,8]",63,"White","HS or Less",4,"(57,86]","Female","Democrat"
"1562","High Speed",0,0,"(6,8]",55,"White","Some College",2,"(40,57]","Female","Repubican"
"1563",NA,0,0,NA,38,"White","HS or Less",4,"[18,40]","Female","Independent"
"1564","Dial-Up",NA,NA,"[1,4]",65,"White","College",1,"(57,86]","Female","Independent"
"1565","Dial-Up",NA,NA,"(6,8]",50,"Non-Whte","Some College",2,"(40,57]","Male","Independent"
"1566","Dial-Up",NA,NA,"[1,4]",42,"White","HS or Less",4,"(40,57]","Male","Independent"
"1567",NA,NA,NA,"[1,4]",70,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1568",NA,NA,NA,"(4,6]",83,"White","College",1,"(57,86]","Female","Democrat"
"1569",NA,NA,NA,"(6,8]",54,"White","HS or Less",2,"(40,57]","Female","Democrat"
"1570","Dial-Up",1,1,"(4,6]",49,"Non-Whte","Some College",1,"(40,57]","Female","Democrat"
"1571",NA,NA,NA,NA,62,"White","HS or Less",1,"(57,86]","Male","Repubican"
"1572",NA,NA,NA,"(4,6]",22,"White","HS or Less",1,"[18,40]","Female","Repubican"
"1573",NA,NA,NA,"[1,4]",68,"White","HS or Less",4,"(57,86]","Female","Democrat"
"1574",NA,NA,NA,NA,53,"White","HS or Less",2,"(40,57]","Female","Independent"
"1575","Dial-Up",NA,NA,"[1,4]",28,"White","HS or Less",3,"[18,40]","Female","Repubican"
"1576",NA,NA,NA,"[1,4]",81,"White","College",1,"(57,86]","Female","Independent"
"1577","High Speed",0,0,"(4,6]",65,"White","Some College",1,"(57,86]","Female","Independent"
"1578","Dial-Up",NA,NA,"(4,6]",49,"White","HS or Less",1,"(40,57]","Male","Democrat"
"1579","High Speed",0,0,"(6,8]",28,"White","Some College",2,"[18,40]","Female","Democrat"
"1580","Dial-Up",0,0,"(4,6]",35,"White","College",3,"[18,40]","Male","Independent"
"1581",NA,0,0,"(4,6]",41,"White","HS or Less",1,"(40,57]","Male","Independent"
